Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/3/22, 19:00:00, 2102.50, 2102.50, 2102.00, 2102.00, 595, 287, 326, 269
2015/3/22, 19:05:00, 2102.25, 2102.50, 2101.75, 2102.00, 507, 244, 332, 175
2015/3/22, 19:10:00, 2102.00, 2102.25, 2101.75, 2102.00, 208, 120, 122, 86
2015/3/22, 19:15:00, 2102.00, 2102.50, 2101.75, 2102.00, 296, 132, 201, 95
2015/3/22, 19:20:00, 2102.00, 2102.25, 2101.75, 2101.75, 181, 83, 153, 28
2015/3/22, 19:25:00, 2101.75, 2102.25, 2101.75, 2101.75, 209, 112, 148, 61
2015/3/22, 19:30:00, 2101.75, 2102.00, 2101.50, 2101.75, 540, 170, 403, 137
2015/3/22, 19:35:00, 2101.75, 2102.00, 2101.50, 2101.75, 293, 100, 174, 119
2015/3/22, 19:40:00, 2101.75, 2102.00, 2101.50, 2101.75, 196, 97, 116, 80
2015/3/22, 19:45:00, 2101.50, 2101.75, 2101.50, 2101.75, 289, 142, 172, 117
2015/3/22, 19:50:00, 2101.50, 2102.00, 2101.25, 2101.50, 248, 138, 125, 123
2015/3/22, 19:55:00, 2101.50, 2102.00, 2101.50, 2101.75, 63, 31, 15, 48
2015/3/22, 20:00:00, 2102.00, 2102.00, 2101.50, 2101.50, 486, 266, 256, 230
2015/3/22, 20:05:00, 2101.50, 2101.75, 2101.25, 2101.75, 66, 43, 24, 42
2015/3/22, 20:10:00, 2101.75, 2101.75, 2100.75, 2101.00, 668, 277, 502, 166
2015/3/22, 20:15:00, 2101.25, 2101.25, 2101.00, 2101.25, 56, 43, 34, 22
2015/3/22, 20:20:00, 2101.25, 2101.25, 2100.75, 2101.00, 126, 69, 78, 48
2015/3/22, 20:25:00, 2101.00, 2101.00, 2100.75, 2100.75, 128, 78, 53, 75
2015/3/22, 20:30:00, 2101.00, 2101.25, 2101.00, 2101.00, 79, 56, 46, 33
2015/3/22, 20:35:00, 2101.25, 2101.25, 2101.00, 2101.25, 143, 85, 69, 74
2015/3/22, 20:40:00, 2101.25, 2101.50, 2101.00, 2101.00, 154, 80, 49, 105
2015/3/22, 20:45:00, 2101.25, 2101.50, 2101.00, 2101.25, 98, 56, 26, 72
2015/3/22, 20:50:00, 2101.50, 2101.50, 2101.25, 2101.25, 62, 34, 55, 7
2015/3/22, 20:55:00, 2101.50, 2102.00, 2101.50, 2101.75, 163, 132, 9, 154
2015/3/22, 21:00:00, 2102.00, 2102.00, 2101.75, 2102.00, 129, 91, 40, 89
2015/3/22, 21:05:00, 2102.00, 2102.00, 2101.75, 2101.75, 139, 69, 88, 51
2015/3/22, 21:10:00, 2101.75, 2102.50, 2101.75, 2101.75, 406, 239, 145, 261
2015/3/22, 21:15:00, 2101.75, 2101.75, 2101.50, 2101.75, 58, 48, 22, 36
2015/3/22, 21:20:00, 2102.00, 2102.00, 2101.50, 2101.75, 73, 47, 50, 23
2015/3/22, 21:25:00, 2101.75, 2101.75, 2101.50, 2101.75, 41, 19, 31, 10
2015/3/22, 21:30:00, 2101.75, 2102.50, 2101.75, 2102.50, 513, 203, 249, 264
2015/3/22, 21:35:00, 2102.50, 2103.25, 2102.25, 2102.75, 678, 324, 228, 450
2015/3/22, 21:40:00, 2102.75, 2103.00, 2102.75, 2102.75, 54, 46, 35, 19
2015/3/22, 21:45:00, 2102.75, 2103.00, 2102.50, 2103.00, 65, 33, 9, 56
2015/3/22, 21:50:00, 2103.00, 2103.25, 2102.75, 2103.25, 124, 88, 45, 79
2015/3/22, 21:55:00, 2103.00, 2103.00, 2102.75, 2103.00, 50, 34, 27, 23
2015/3/22, 22:00:00, 2103.00, 2103.00, 2102.75, 2103.00, 56, 40, 22, 34
2015/3/22, 22:05:00, 2103.00, 2103.00, 2102.75, 2102.75, 28, 18, 8, 20
2015/3/22, 22:10:00, 2102.75, 2103.00, 2102.75, 2102.75, 45, 29, 42, 3
2015/3/22, 22:15:00, 2102.75, 2103.25, 2102.50, 2103.00, 193, 72, 56, 137
2015/3/22, 22:20:00, 2102.75, 2103.00, 2102.75, 2102.75, 27, 25, 21, 6
2015/3/22, 22:25:00, 2102.50, 2102.75, 2102.50, 2102.75, 271, 57, 255, 16
2015/3/22, 22:30:00, 2102.75, 2103.00, 2102.50, 2102.75, 173, 77, 62, 111
2015/3/22, 22:35:00, 2102.50, 2103.00, 2102.50, 2103.00, 54, 28, 39, 15
2015/3/22, 22:40:00, 2102.75, 2103.00, 2102.50, 2102.50, 87, 43, 38, 49
2015/3/22, 22:45:00, 2102.75, 2102.75, 2102.50, 2102.75, 96, 48, 31, 65
2015/3/22, 22:50:00, 2102.50, 2103.00, 2102.50, 2102.75, 115, 69, 49, 66
2015/3/22, 22:55:00, 2102.75, 2103.00, 2102.75, 2102.75, 31, 26, 7, 24
2015/3/22, 23:00:00, 2102.75, 2103.00, 2102.75, 2103.00, 212, 97, 97, 115
2015/3/22, 23:05:00, 2102.75, 2103.00, 2102.50, 2102.75, 132, 63, 98, 34
2015/3/22, 23:10:00, 2102.75, 2103.00, 2102.50, 2103.00, 322, 125, 173, 149
2015/3/22, 23:15:00, 2103.00, 2103.00, 2102.75, 2102.75, 191, 59, 55, 136
2015/3/22, 23:20:00, 2102.75, 2103.00, 2102.50, 2103.00, 394, 101, 301, 93
2015/3/22, 23:25:00, 2102.75, 2102.75, 2102.50, 2102.75, 28, 22, 13, 15
2015/3/22, 23:30:00, 2102.75, 2102.75, 2102.50, 2102.50, 37, 15, 24, 13
2015/3/22, 23:35:00, 2102.50, 2102.75, 2102.50, 2102.50, 63, 29, 20, 43
2015/3/22, 23:40:00, 2102.50, 2102.75, 2102.50, 2102.50, 61, 31, 41, 20
2015/3/22, 23:45:00, 2102.50, 2102.75, 2102.50, 2102.75, 11, 7, 5, 6
2015/3/22, 23:50:00, 2102.75, 2103.00, 2102.50, 2102.75, 142, 45, 4, 138
2015/3/22, 23:55:00, 2102.75, 2103.00, 2102.75, 2102.75, 68, 44, 55, 13
2015/3/23, 00:00:00, 2102.75, 2103.00, 2102.75, 2102.75, 25, 17, 14, 11
2015/3/23, 00:05:00, 2102.75, 2102.75, 2101.75, 2102.00, 334, 165, 303, 31
2015/3/23, 00:10:00, 2102.00, 2102.50, 2101.75, 2102.00, 113, 66, 35, 78
