Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2017/6/18, 19:00:00, 2433.50, 2434.00, 2433.25, 2433.25, 1224, 481, 989, 235
2017/6/18, 19:05:00, 2433.50, 2433.50, 2433.25, 2433.50, 602, 167, 518, 84
2017/6/18, 19:10:00, 2433.25, 2434.00, 2433.25, 2433.75, 1226, 457, 545, 681
2017/6/18, 19:15:00, 2433.75, 2434.25, 2433.75, 2434.00, 695, 306, 388, 307
2017/6/18, 19:20:00, 2434.00, 2434.00, 2433.50, 2433.75, 295, 156, 192, 103
2017/6/18, 19:25:00, 2433.75, 2434.50, 2433.75, 2434.00, 656, 295, 339, 317
2017/6/18, 19:30:00, 2434.00, 2434.50, 2434.00, 2434.25, 327, 123, 254, 73
2017/6/18, 19:35:00, 2434.50, 2435.50, 2434.00, 2435.00, 2041, 659, 837, 1204
2017/6/18, 19:40:00, 2435.00, 2436.00, 2435.00, 2435.75, 1546, 527, 543, 1003
2017/6/18, 19:45:00, 2435.75, 2436.50, 2435.75, 2436.00, 1736, 627, 966, 770
2017/6/18, 19:50:00, 2436.25, 2436.25, 2435.50, 2435.75, 714, 290, 493, 221
2017/6/18, 19:55:00, 2435.50, 2436.00, 2435.50, 2435.50, 258, 113, 130, 128
2017/6/18, 20:00:00, 2435.75, 2436.25, 2435.75, 2436.00, 255, 148, 90, 165
2017/6/18, 20:05:00, 2436.00, 2436.50, 2436.00, 2436.25, 367, 200, 139, 228
2017/6/18, 20:10:00, 2436.50, 2437.50, 2436.25, 2436.25, 1844, 795, 723, 1121
2017/6/18, 20:15:00, 2436.50, 2437.00, 2436.50, 2436.75, 256, 157, 80, 176
2017/6/18, 20:20:00, 2436.75, 2436.75, 2436.00, 2436.50, 632, 271, 266, 366
2017/6/18, 20:25:00, 2436.50, 2437.00, 2436.25, 2436.50, 587, 286, 360, 227
2017/6/18, 20:30:00, 2436.50, 2436.75, 2435.75, 2436.00, 666, 295, 386, 280
2017/6/18, 20:35:00, 2436.00, 2436.50, 2435.75, 2436.25, 251, 161, 130, 121
2017/6/18, 20:40:00, 2436.25, 2436.50, 2436.00, 2436.50, 326, 201, 112, 214
2017/6/18, 20:45:00, 2436.25, 2436.75, 2436.00, 2436.00, 309, 193, 141, 168
2017/6/18, 20:50:00, 2436.00, 2436.25, 2435.75, 2436.25, 230, 137, 93, 137
2017/6/18, 20:55:00, 2436.25, 2436.50, 2435.75, 2436.00, 720, 320, 402, 318
2017/6/18, 21:00:00, 2435.75, 2436.50, 2435.75, 2436.00, 409, 187, 179, 230
2017/6/18, 21:05:00, 2436.00, 2436.50, 2436.00, 2436.50, 176, 103, 50, 126
