Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2015/9/20, 19:00:00, 1948.25, 1949.50, 1947.75, 1948.50, 546, 409, 247, 299
2015/9/20, 19:05:00, 1948.75, 1950.00, 1948.50, 1949.75, 626, 447, 329, 297
2015/9/20, 19:10:00, 1949.50, 1949.75, 1948.75, 1949.00, 345, 220, 199, 146
2015/9/20, 19:15:00, 1949.25, 1949.50, 1949.25, 1949.50, 157, 120, 29, 128
2015/9/20, 19:20:00, 1949.50, 1949.50, 1944.75, 1945.00, 1980, 1258, 1416, 564
2015/9/20, 19:25:00, 1945.25, 1945.25, 1943.75, 1944.25, 914, 652, 505, 409
2015/9/20, 19:30:00, 1944.00, 1944.25, 1942.00, 1943.75, 1690, 1048, 979, 711
2015/9/20, 19:35:00, 1943.75, 1944.25, 1943.00, 1943.50, 566, 426, 211, 355
2015/9/20, 19:40:00, 1943.50, 1944.75, 1943.00, 1944.25, 547, 358, 180, 367
2015/9/20, 19:45:00, 1944.25, 1944.50, 1943.75, 1944.00, 444, 306, 260, 184
2015/9/20, 19:50:00, 1944.00, 1944.00, 1943.00, 1943.50, 354, 272, 209, 145
2015/9/20, 19:55:00, 1943.75, 1943.75, 1942.25, 1942.25, 598, 324, 424, 174
2015/9/20, 20:00:00, 1942.50, 1943.25, 1942.25, 1943.00, 445, 310, 184, 261
2015/9/20, 20:05:00, 1943.00, 1945.75, 1942.75, 1945.50, 1215, 707, 464, 751
2015/9/20, 20:10:00, 1945.25, 1945.75, 1944.50, 1944.75, 411, 251, 263, 148
2015/9/20, 20:15:00, 1944.75, 1945.00, 1938.50, 1940.25, 3565, 1725, 2251, 1314
2015/9/20, 20:20:00, 1940.50, 1942.25, 1939.50, 1940.50, 2165, 1315, 1079, 1086
2015/9/20, 20:25:00, 1940.75, 1941.00, 1939.25, 1939.75, 913, 550, 323, 590
2015/9/20, 20:30:00, 1940.00, 1942.25, 1939.25, 1941.25, 1666, 877, 729, 937
2015/9/20, 20:35:00, 1941.50, 1943.00, 1941.25, 1941.75, 740, 506, 380, 360
2015/9/20, 20:40:00, 1941.50, 1942.00, 1940.75, 1941.75, 652, 421, 442, 210
2015/9/20, 20:45:00, 1941.75, 1942.50, 1940.25, 1940.25, 778, 395, 509, 269
2015/9/20, 20:50:00, 1940.50, 1941.50, 1939.75, 1941.00, 950, 521, 340, 610
2015/9/20, 20:55:00, 1941.25, 1941.75, 1941.00, 1941.25, 303, 254, 90, 213
2015/9/20, 21:00:00, 1941.25, 1942.50, 1941.00, 1942.50, 480, 321, 202, 278
2015/9/20, 21:05:00, 1942.50, 1943.00, 1941.75, 1942.50, 473, 335, 278, 195
2015/9/20, 21:10:00, 1942.75, 1942.75, 1941.00, 1942.00, 593, 388, 377, 216
2015/9/20, 21:15:00, 1942.25, 1942.50, 1940.75, 1941.00, 504, 397, 310, 194
2015/9/20, 21:20:00, 1941.00, 1941.50, 1940.50, 1941.25, 638, 316, 286, 352
2015/9/20, 21:25:00, 1941.50, 1942.00, 1941.00, 1941.75, 243, 175, 76, 167
2015/9/20, 21:30:00, 1941.75, 1941.75, 1941.00, 1941.25, 141, 108, 96, 45
2015/9/20, 21:35:00, 1941.25, 1941.50, 1940.50, 1941.25, 232, 171, 87, 145
2015/9/20, 21:40:00, 1941.25, 1942.00, 1941.00, 1941.75, 275, 209, 147, 128
2015/9/20, 21:45:00, 1942.00, 1944.25, 1942.00, 1943.00, 571, 388, 140, 431
2015/9/20, 21:50:00, 1943.25, 1943.25, 1942.00, 1942.25, 675, 428, 387, 288
2015/9/20, 21:55:00, 1942.00, 1942.25, 1938.50, 1939.00, 1800, 960, 1309, 491
2015/9/20, 22:00:00, 1939.00, 1940.75, 1938.50, 1940.00, 624, 461, 247, 377
2015/9/20, 22:05:00, 1940.00, 1941.00, 1940.00, 1940.50, 452, 293, 159, 293
2015/9/20, 22:10:00, 1940.75, 1941.00, 1940.00, 1940.25, 317, 242, 180, 137
2015/9/20, 22:15:00, 1940.50, 1941.50, 1940.25, 1941.00, 352, 273, 153, 199
2015/9/20, 22:20:00, 1941.00, 1941.25, 1940.75, 1940.75, 106, 90, 55, 51
2015/9/20, 22:25:00, 1941.00, 1941.00, 1940.25, 1940.75, 150, 127, 93, 57
2015/9/20, 22:30:00, 1940.75, 1941.50, 1940.50, 1941.25, 127, 99, 39, 88
2015/9/20, 22:35:00, 1941.25, 1941.50, 1941.00, 1941.50, 75, 63, 28, 47
2015/9/20, 22:40:00, 1941.50, 1941.50, 1941.25, 1941.50, 71, 61, 27, 44
2015/9/20, 22:45:00, 1941.50, 1941.75, 1940.75, 1940.75, 146, 108, 103, 43
2015/9/20, 22:50:00, 1940.75, 1941.25, 1940.50, 1941.00, 207, 144, 92, 115
2015/9/20, 22:55:00, 1940.75, 1941.25, 1940.75, 1940.75, 55, 49, 35, 20
2015/9/20, 23:00:00, 1941.00, 1941.25, 1941.00, 1941.25, 64, 56, 27, 37
2015/9/20, 23:05:00, 1941.25, 1942.00, 1941.25, 1941.75, 111, 102, 33, 78
2015/9/20, 23:10:00, 1941.75, 1942.50, 1941.50, 1942.50, 257, 175, 82, 175
2015/9/20, 23:15:00, 1942.25, 1943.75, 1942.25, 1943.25, 484, 317, 220, 264
2015/9/20, 23:20:00, 1943.25, 1944.00, 1943.00, 1943.25, 533, 270, 243, 290
2015/9/20, 23:25:00, 1943.00, 1943.25, 1943.00, 1943.00, 51, 37, 42, 9
2015/9/20, 23:30:00, 1943.00, 1944.00, 1942.75, 1943.25, 501, 322, 251, 250
2015/9/20, 23:35:00, 1943.50, 1944.00, 1943.50, 1943.75, 216, 135, 89, 127
2015/9/20, 23:40:00, 1943.75, 1944.25, 1943.50, 1943.75, 157, 116, 91, 66
2015/9/20, 23:45:00, 1943.75, 1944.00, 1943.00, 1943.00, 163, 115, 137, 26
2015/9/20, 23:50:00, 1942.75, 1943.00, 1942.75, 1943.00, 75, 55, 52, 23
2015/9/20, 23:55:00, 1942.75, 1943.00, 1942.75, 1942.75, 72, 54, 53, 19
